clip_name,system_1,system_2
1_wayne_0_1_1-segment_1,NA,NA
1_wayne_0_2_2-segment_2,SA,SZ
1_wayne_0_3_3-segment_3,NA,NA
1_wayne_0_4_4-segment_1,SB,SA
1_wayne_0_5_5-segment_2,SZ,BA
2_scott_0_1_1-segment_4,NA,NA
2_scott_0_2_2-segment_2,SB,BA
2_scott_0_3_3-segment_1,NA,SZ
2_scott_0_4_4-segment_2,SB,SZ
2_scott_0_5_5-segment_4,SA,NA
3_solomon_0_1_1-segment_1,SZ,NA
3_solomon_0_2_2-segment_2,SA,SZ
3_solomon_0_3_3-segment_1,SA,SB
3_solomon_0_4_4-segment_2,SZ,BA
3_solomon_0_5_5-segment_4,SZ,SZ
4_lawrence_0_1_1-segment_1,SZ,SB
4_lawrence_0_2_2-segment_2,NA,BA
4_lawrence_0_3_3-segment_1,SZ,SZ
4_lawrence_0_4_4-segment_2,SZ,SB
4_lawrence_0_5_5-segment_4,SB,NA
5_stewart_0_1_1-segment_1,SB,SZ
5_stewart_0_2_2-segment_2,BA,SB
5_stewart_0_3_3-segment_1,SZ,BA
5_stewart_0_4_4-segment_2,SB,SZ
5_stewart_0_5_5-segment_4,BA,NA
